year;month;day;hour;T;Td;ur;pressure;WD;WS;u;v;precip;Sw_dw;Sw_up;Lw_dw;Lw_up;Sw_dif;Sw_par;RH_WXT;Temp_WXT;Net_CNR1;Net_NRLite;PSP_Wm2_Avg;oc_topo;decl_rad;elev_solar;ang_hor;ang_zen;ang_hor_por;nascer_h;por_h;ast_h;fc
2022;6;14;0;25.62833333333334;nan;80.28916666666667;1013.1416666666668;163.55765468149724;2.6840833333333336;-0.7576778975815609;2.5673617017935233;0.0;-1.3389166666666668;2.4205833333333335;385.25;444.8500000000001;-1.8085000000000002;4.072583333333333;71.48166666666667;25.953333333333333;-63.36166666666667;nan;-2.071166666666667;0.0;0.406;-1.361;-3.027;2.932;-5.621;6.379;17.621;0.439;1.082
2022;6;14;1;25.63083333333333;nan;82.43333333333332;1012.7416666666668;163.0137829998739;2.7895833333333333;-0.8121345410294906;2.658659675085699;0.0;-1.09225;1.68175;400.4583333333334;445.59166666666664;-1.3776666666666666;4.061083333333333;73.45;25.972499999999997;-47.9125;nan;-1.5915;0.0;0.406;-1.171;-2.765;2.742;-5.621;6.379;17.621;1.439;1.082
2022;6;14;2;25.48;nan;83.86666666666666;1012.1333333333332;160.4370591948827;2.103083333333333;-0.6969511179671085;1.9612794648220533;0.0;-1.4968333333333332;1.9928333333333335;391.09999999999997;443.675;-1.7925000000000002;3.9795000000000003;74.86166666666666;25.818333333333328;-56.074999999999996;nan;-2.28875;0.0;0.406;-0.94;-2.503;2.511;-5.621;6.379;17.621;2.439;1.082
2022;6;14;3;25.42;nan;84.64166666666667;1011.7166666666668;157.73576729745676;1.8135833333333329;-0.6790134689965687;1.6585542686874282;0.0;-1.20225;2.146833333333333;394.95;442.63333333333327;-1.57625;4.027083333333333;75.70166666666667;25.745833333333334;-51.03666666666666;nan;-1.9610833333333328;0.0;0.406;-0.701;-2.241;2.272;-5.621;6.379;17.621;3.439;1.082
2022;6;14;4;25.48;nan;84.60833333333333;1011.7999999999997;163.41039966773124;1.6678333333333333;-0.46403591837860586;1.5576101290945907;0.0;-0.8160000000000002;1.9088333333333332;404.9750000000001;443.06666666666666;-1.1533333333333333;4.091166666666667;75.72166666666668;25.803333333333327;-40.81916666666667;nan;-1.2861666666666667;0.0;0.406;-0.461;-1.98;2.032;-5.621;6.379;17.621;4.439;1.082
2022;6;14;5;25.439166666666665;nan;85.00833333333334;1011.9416666666666;151.46097210242502;0.9222499999999999;-0.4319515997766224;0.7942652042351442;0.0;-1.1663333333333334;1.7358333333333331;405.5833333333333;442.33333333333326;-1.4146666666666665;3.995583333333333;75.91166666666666;25.8075;-39.64166666666666;nan;-1.8565833333333333;0.0;0.406;-0.222;-1.718;1.792;-5.621;6.379;17.621;5.439;1.082
2022;6;14;6;25.249166666666667;nan;87.34166666666668;1012.0833333333335;145.27398983372547;1.2839166666666666;-0.714843930468455;1.0313650603561602;0.0;9.4675;4.155833333333334;420.79999999999995;440.94166666666666;8.4625;6.363666666666667;78.20750000000001;25.61916666666667;-14.837249999999997;nan;5.870416666666667;18.218;0.406;0.014;-1.456;1.557;-5.621;6.379;17.621;6.439;1.082
2022;6;14;7;26.133333333333336;nan;84.11666666666669;1012.8583333333332;142.6201839737319;3.2704999999999997;-1.976210903281391;2.586664564086768;0.0;103.68416666666667;14.265833333333333;411.46666666666664;448.4750000000001;87.82333333333332;28.66916666666667;75.27500000000002;26.417500000000004;52.42191666666667;nan;72.28083333333333;318.337;0.406;0.243;-1.194;1.328;-5.62;6.38;17.62;7.438;1.082
2022;6;14;8;26.504166666666663;nan;82.04166666666667;1013.9083333333334;144.65052929683833;3.2296666666666667;-1.8550811510284266;2.6152341609318874;0.0;245.6;27.249166666666667;414.71666666666664;457.7166666666667;134.98749999999998;59.26000000000001;73.14083333333332;26.756666666666664;175.35583333333332;nan;179.79916666666665;588.742;0.406;0.461;-0.932;1.11;-5.62;6.38;17.62;8.438;1.082
2022;6;14;9;26.52333333333333;nan;82.76666666666667;1014.2749999999997;149.50405428874936;3.2429166666666673;-1.6329433824493842;2.7726363752632834;0.0;289.1666666666667;35.77583333333334;428.5583333333334;462.0916666666667;190.08333333333334;71.39083333333333;73.73916666666666;26.799166666666665;219.8525;nan;219.40583333333333;811.012;0.406;0.659;-0.671;0.912;-5.62;6.38;17.62;9.438;1.082
